measurement,len,min,q1,median,mean,q3,max,std
num_threads,67,5,33.0,38.0,39,46.0,50,7.420627749398542
cpu_percent,67,0.0,0.0,1.5,16.223880597,23.0,133.4,26.10299971068824
mem_rss,67,9621504.0,102711296.0,147464192.0,149145080.358,197697536.0,217116672.0,49261163.70375947
mem_vms,67,6406144,84697088.0,105164800.0,104616363,125949952.0,136908800,23419485.74070251
io_read_count,67,0,474.0,512.0,3729,7445.0,7736,3450.613736803184
io_read_bytes,67,0,701572.0,722185.0,3413270,6512278.0,6753845,2882654.1440212224
io_write_count,67,0,1.0,3.0,306,652.0,652,322.2391848075587
io_write_bytes,67,0,116.0,2716.0,1027240,2186038.0,2186038,1082623.9550845923
child_process_count,67,0,0.0,0.0,0,0.0,0,0.0
start_time,1526615370.49,"2018-05-18 13:49:30"
end_time,1526615438.12,"2018-05-18 13:50:38"
elapsed_time,67.629999876
